epoch,relay_cpu_ticks,relay_rss_kb,relay_thr,relay_fd,box_total,box_idle,tx_bytes,tx_packets,rx_bytes,bw_out_exc,bw_in_exc,pps_exc,conntrack_exc,udp_socks
1788862327,133,71792,3,11,96926891,76848252,22094320304,18305695,1724063601,0,0,0,0,1
1788862328,137,73036,3,11,96927086,76848415,22095592622,18306909,1725323546,0,0,0,0,1
1788862329,140,74160,3,11,96927284,76848578,22096890309,18308176,1726604952,0,0,0,0,1
1788862330,143,75284,3,11,96927482,76848741,22098186521,18309419,1727912358,0,0,0,0,1
1788862332,146,76556,3,11,96927676,76848903,22099461921,18310627,1729150910,0,0,0,0,1
1788862333,149,77148,3,11,96927873,76849067,22100679543,18311792,1730356249,0,0,0,0,1
1788862334,152,77540,3,11,96928071,76849230,22102050341,18313085,1731711879,0,0,0,0,1
1788862335,155,77540,3,11,96928267,76849394,22103355513,18314352,1733002484,0,0,0,0,1
1788862336,158,77540,3,11,96928466,76849557,22104588120,18315562,1734219750,0,0,0,0,1
1788862337,161,77540,3,11,96928660,76849719,22105928149,18316844,1735544729,0,0,0,0,1
1788862338,164,78028,3,11,96928859,76849882,22107209255,18318066,1736866121,0,0,0,0,1
1788862339,167,78696,3,11,96929056,76850045,22108530640,18319348,1738140480,0,0,0,0,1
1788862340,170,79708,3,11,96929253,76850209,22109706062,18320455,1739285571,0,0,0,0,1
1788862341,174,80928,3,11,96929452,76850373,22111151481,18321823,1740717540,0,0,0,0,1
1788862342,176,81996,3,11,96929649,76850536,22112366754,18322980,1741928778,0,0,0,0,1
1788862343,179,83156,3,11,96929845,76850699,22113709071,18324251,1743249684,0,0,0,0,1
1788862344,183,84140,3,11,96930041,76850862,22114891212,18325383,1744421503,0,0,0,0,1
1788862345,186,85420,3,11,96930238,76851026,22116281628,18326715,1745797363,0,0,0,0,1
1788862346,188,85632,3,11,96930435,76851190,22117486146,18327872,1746987443,0,0,0,0,1
