epoch,relay_cpu_ticks,relay_rss_kb,relay_thr,relay_fd,box_total,box_idle,tx_bytes,tx_packets,rx_bytes,bw_out_exc,bw_in_exc,pps_exc,conntrack_exc,udp_socks
1788864136,598,101416,2,11,97273156,77059053,121460120399,101398345,4070223702,0,0,0,0,1
1788864137,613,102268,2,11,97273355,77059204,121490236479,101423155,4071574488,0,0,0,0,1
1788864138,630,103432,2,11,97273554,77059355,121524419958,101452043,4073166810,0,0,0,0,1
1788864139,646,104708,2,11,97273751,77059506,121555162901,101478235,4074600171,0,0,0,0,1
1788864141,662,105760,2,11,97273951,77059659,121588433113,101506345,4076147778,0,0,0,0,1
1788864142,680,106936,2,11,97274151,77059810,121621235442,101534125,4077736144,0,0,0,0,1
1788864143,697,108104,2,11,97274353,77059962,121650939378,101559331,4079120862,0,0,0,0,1
1788864144,714,109032,2,11,97274553,77060112,121686534299,101589310,4080786736,0,0,0,0,1
1788864145,728,109040,2,11,97274754,77060265,121718498157,101616237,4082268033,0,0,0,0,1
1788864146,746,109072,2,11,97274956,77060416,121751113346,101643866,4083773205,0,0,0,0,1
1788864147,762,109072,2,11,97275156,77060568,121780219158,101668653,4085143449,0,0,0,0,1
1788864148,778,109300,2,11,97275355,77060717,121814502977,101697453,4086726537,0,0,0,0,1
1788864149,794,109600,2,11,97275556,77060868,121846430031,101724887,4088278350,0,0,0,0,1
1788864150,811,110508,2,11,97275758,77061020,121879381190,101752530,4089762645,0,0,0,0,1
1788864151,830,111400,2,11,97275960,77061169,121909450615,101778252,4091221347,0,0,0,0,1
1788864152,848,112620,2,11,97276164,77061320,121944793763,101808279,4092897340,0,0,0,0,1
1788864153,863,113600,2,11,97276362,77061471,121973742759,101832596,4094221633,0,0,0,0,1
1788864154,879,114840,2,11,97276559,77061620,122009000568,101862568,4095909387,0,0,0,0,1
1788864155,897,115932,2,11,97276759,77061774,122039839899,101888617,4097320053,0,0,0,0,1
1788864156,913,116904,2,11,97276960,77061925,122073815900,101917269,4098903113,0,0,0,0,1
1788864157,929,116904,2,11,97277160,77062078,122102847446,101942127,4100275819,0,0,0,0,1
1788864158,946,116904,2,11,97277360,77062230,122137692211,101971566,4101891233,0,0,0,0,1
1788864159,961,116904,2,11,97277562,77062383,122167357492,101996778,4103287059,0,0,0,0,1
1788864160,978,116904,2,11,97277761,77062534,122202866841,102026654,4104942152,0,0,0,0,1
1788864161,998,116904,2,11,97277961,77062682,122233881528,102052969,4106441822,0,0,0,0,1
1788864163,1014,116904,2,11,97278162,77062832,122265717998,102080382,4108007584,0,0,0,0,1
1788864164,1029,116904,2,11,97278360,77062982,122299479944,102108408,4109493852,0,0,0,0,1
1788864165,1047,116904,2,11,97278563,77063132,122332287098,102136420,4111057812,0,0,0,0,1
1788864166,1066,116904,2,11,97278764,77063284,122364880690,102164376,4112584518,0,0,0,0,1
1788864167,1084,116904,2,11,97278962,77063432,122396320659,102191339,4114083664,0,0,0,0,1
1788864168,1102,116904,2,11,97279163,77063581,122429075960,102219325,4115628415,0,0,0,0,1
1788864169,1119,116904,2,11,97279363,77063731,122461002756,102247283,4117152110,0,0,0,0,1
1788864170,1135,116904,2,11,97279561,77063882,122493063510,102273785,4118612239,0,0,0,0,1
1788864171,1151,116904,2,11,97279758,77064032,122525975921,102301787,4120175336,0,0,0,0,1
1788864172,1171,116904,2,11,97279959,77064181,122558180179,102329277,4121748689,0,0,0,0,1
1788864173,1189,116904,2,11,97280160,77064331,122590537716,102356906,4123313412,0,0,0,0,1
1788864174,1205,117268,2,11,97280359,77064482,122619972807,102381840,4124671504,0,0,0,0,1
1788864175,1223,117268,2,11,97280558,77064630,122655471436,102411770,4126316673,0,0,0,0,1
1788864176,1240,117268,2,11,97280757,77064779,122687194996,102438906,4127819932,0,0,0,0,1
1788864177,1258,117268,2,11,97280957,77064929,122720079068,102466965,4129374353,0,0,0,0,1
1788864178,1274,117268,2,11,97281157,77065080,122751721248,102493747,4130854012,0,0,0,0,1
1788864179,1292,117268,2,11,97281356,77065230,122784673466,102521891,4132400860,0,0,0,0,1
1788864180,1309,117268,2,11,97281554,77065380,122816972165,102549503,4133918341,0,0,0,0,1
1788864181,1330,117268,2,11,97281755,77065528,122849553182,102577366,4135507809,0,0,0,0,1
1788864182,1347,117268,2,11,97281957,77065676,122881883521,102605052,4137052002,0,0,0,0,1
1788864183,1366,117268,2,11,97282158,77065825,122914021030,102632761,4138586687,0,0,0,0,1
1788864185,1382,117268,2,11,97282360,77065978,122943104530,102657301,4140053160,0,0,0,0,1
1788864186,1400,117268,2,11,97282561,77066127,122979226051,102687617,4141627132,0,0,0,0,1
1788864187,1414,117268,2,11,97282760,77066278,123007483140,102712470,4143100629,0,0,0,0,1
1788864188,1431,117268,2,11,97282960,77066430,123043279946,102741546,4144606063,0,0,0,0,1
1788864189,1448,117268,2,11,97283160,77066581,123074323303,102767854,4146058773,0,0,0,0,1
1788864190,1465,117268,2,11,97283359,77066734,123104126333,102793088,4147452379,0,0,0,0,1
1788864191,1481,117268,2,11,97283559,77066884,123137518256,102821313,4149019915,0,0,0,0,1
1788864192,1499,117268,2,11,97283758,77067031,123172266415,102850614,4150681946,0,0,0,0,1
1788864193,1514,117268,2,11,97283957,77067182,123201527498,102875412,4152060909,0,0,0,0,1
1788864194,1532,117268,2,11,97284159,77067334,123237277952,102905755,4153749043,0,0,0,0,1
1788864195,1555,125136,2,11,97284356,77067478,123277487357,102939289,4155305756,0,0,0,0,1
1788864196,1584,131992,2,11,97284555,77067616,123332234067,102985518,4157112824,0,0,0,0,1
1788864197,1616,139724,2,11,97284760,77067755,123385956687,103031267,4158752768,0,0,0,0,1
1788864198,1654,145304,2,11,97284963,77067886,123459021984,103093375,4160772863,0,0,0,0,1
1788864199,1685,145304,2,11,97285168,77068026,123521162244,103145664,4162424794,0,0,0,0,1
1788864200,1720,145304,2,11,97285371,77068165,123588952504,103203017,4164241078,0,0,0,0,1
1788864201,1752,145748,2,11,97285575,77068301,123652960259,103257851,4165972825,0,0,0,0,1
1788864202,1786,147240,2,11,97285778,77068438,123718508383,103313729,4167794880,0,0,0,0,1
1788864203,1822,148176,2,11,97285984,77068574,123783133749,103368242,4169561981,0,0,0,0,1
1788864204,1857,148852,2,11,97286190,77068711,123848963175,103424593,4171360353,0,0,0,0,1
1788864206,1890,148852,2,11,97286391,77068847,123911929576,103477997,4173060406,0,0,0,0,1
1788864207,1925,148852,2,11,97286593,77068982,123978812400,103535186,4174891715,0,0,0,0,1
1788864208,1958,148852,2,11,97286798,77069122,124038692878,103586577,4176568782,0,0,0,0,1
1788864209,1996,148852,2,11,97287006,77069258,124108424211,103646006,4178451202,0,0,0,0,1
1788864210,2025,148852,2,11,97287205,77069397,124166952863,103695503,4180020216,0,0,0,0,1
1788864211,2059,148852,2,11,97287412,77069535,124239469341,103756534,4181997697,0,0,0,0,1
1788864212,2094,148852,2,11,97287614,77069667,124303227034,103810651,4183823440,0,0,0,0,1
1788864213,2131,148852,2,11,97287821,77069805,124369192727,103867314,4185630245,0,0,0,0,1
1788864214,2164,148852,2,11,97288025,77069940,124432922083,103922102,4187396345,0,0,0,0,1
1788864215,2198,148988,2,11,97288229,77070075,124498107571,103977160,4189168702,0,0,0,0,1
1788864216,2232,150224,2,11,97288433,77070214,124562357328,104032146,4190995590,0,0,0,0,1
1788864217,2267,151620,2,11,97288639,77070354,124627515609,104087750,4192757717,0,0,0,0,1
1788864218,2300,151796,2,11,97288838,77070488,124692869991,104142851,4194520836,0,0,0,0,1
1788864219,2331,151796,2,11,97289042,77070626,124758095819,104198511,4196320376,0,0,0,0,1
1788864220,2362,152372,2,11,97289245,77070766,124817812816,104249038,4197921056,0,0,0,0,1
1788864221,2395,152896,2,11,97289448,77070904,124886138275,104306567,4199763704,0,0,0,0,1
1788864222,2429,153120,2,11,97289649,77071038,124947387590,104358474,4201572040,0,0,0,0,1
1788864223,2462,153120,2,11,97289854,77071173,125016713016,104416881,4203452562,0,0,0,0,1
1788864224,2495,153120,2,11,97290058,77071313,125078079712,104468912,4205130790,0,0,0,0,1
