n_target,n_alive,window_s,sub_cpu_pct_core,sub_rss_kb,agg_bps,per_sub_bps,per_sub_frac,box_busy_pct,rx_bytes_delta,deaths,pub_cpu_pct_core,pub_rss_kb
1,1,45,2.76,93556,9581547,9581547,1.0000,3.2,55324151,0,25.00,86720
5,5,45,16.00,491608,47871209,9574242,0.9992,5.1,274914720,0,26.76,93980
10,10,45,33.53,981712,95564092,9556409,0.9974,7.5,550206258,0,28.44,93332
25,25,45,84.22,2486596,239108860,9564354,0.9982,14.3,1377833017,0,30.98,96048
50,50,45,171.87,5066304,478433766,9568675,0.9987,26.0,2754880550,0,34.49,99792
100,100,45,365.02,10419256,964445785,9644458,1.0066,52.5,5552703721,0,42.82,104980
150,150,46,440.26,14866504,45759108,305061,0.0318,65.3,7624864179,0,48.43,104436
