n_target,n_alive,window_s,sub_cpu_pct_core,sub_rss_kb,agg_bps,per_sub_bps,per_sub_frac,box_busy_pct,rx_bytes_delta,deaths,pub_cpu_pct_core,pub_rss_kb
1,1,45,2.53,97856,9580105,9580105,1.0000,3.2,55244553,0,25.09,86332
25,25,45,73.38,2410160,239744207,9589768,1.0010,12.8,1374945533,0,30.02,93976
50,50,45,156.36,4962204,480366247,9607325,1.0028,23.9,2761277965,0,33.73,93204
100,100,46,325.93,10300160,946441403,9464414,0.9879,47.4,5539630548,0,38.11,95676
150,150,46,517.57,15867244,1426134448,9507563,0.9924,72.5,8404643470,0,42.48,99480
200,189,59,345.76,16440116,964246146,5101831,0.5325,66.7,8589202597,11,28.20,80156
