t_s,mbps_1_3s-025613d,mbps_2_3s-0e61e35,alive
10,2.00,1.99,2
20,1.88,1.91,2
30,1.96,1.92,2
41,1.82,1.79,2
51,1.88,1.88,2
61,1.95,1.93,2
71,2.00,2.02,2
81,1.89,1.87,2
91,1.95,1.95,2
101,2.00,2.01,2
111,1.88,1.88,2
121,1.96,1.95,2
131,2.00,2.02,2
141,1.89,1.88,2
151,1.96,1.95,2
