arm,inject,delay_b,leg_a_dgrams,leg_b_dgrams,seq_offset,mergeable,align_yield_pct,merge_dgrams,merge_covered_by_b,merge_lost_dgrams,merge_lost_ts_packets,merge_longest_gap_ms,merge_content_pct,merge_conflicts,merge_cc_errors,merge_pcrs,merge_pcr_over40_pct,merge_pcr_gt100ms,merge_pcr_backward,merge_pcr_accuracy_fail,skew_abs_max_ms,leg_a_silence_max_ms,leg_a_carrier_after_content_s
a,blackout,0,5503,10842,0,True,100.0,10842,5339,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,3.684,241.7,0.0
a,delay200,0,10821,10842,0,True,100.0,10842,21,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,202.936,442.1,0.0
a,delay50,0,10842,10842,0,True,100.0,10842,0,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,52.937,292.4,0.0
a,killegress,0,5503,10842,0,True,100.0,10842,5339,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,2.961,242.5,0.0
a,killpub,0,5503,10842,0,True,100.0,10842,5339,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,3.432,241.8,0.0
a,killrelay,0,5503,10842,0,True,100.0,10842,5339,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,2.703,242.4,0.0
a,loss1,0,10815,10842,0,True,100.0,10842,27,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,4.358,245.9,0.0
a,loss3,0,10672,10842,0,True,100.0,10842,170,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,2.819,242.0,0.0
a,none,20,10841,10841,-3542,False,0.4246,10841,0,0,0,0.0,100.0,10788,0,1523,0.0000,0,0,1522,243.295,243.4,0.0
a,none,0,10842,10842,0,True,100.0,10842,0,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,6.061,242.4,0.0
a,none,0,10842,10842,0,True,100.0,10842,0,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,2.889,242.4,0.0
a,none,0,10842,10842,0,True,100.0,10842,0,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,3.186,243.0,0.0
a,termpub,0,5503,10842,0,True,100.0,10842,5339,0,0,0.0,100.0,0,0,1524,0.0000,0,0,1523,3.609,241.6,0.0
b,blackout,0,11790,23176,1,False,52.3115,23176,11387,0,0,0.0,48.05,5622,1,2593,1.5046,18,0,1,4.741,4.6,0.0
b,delay50,0,23155,23174,0,False,51.7512,23174,19,0,0,0.0,48.08,11172,1,2589,1.5070,19,0,1,50.894,53.3,0.566
b,killegress,0,11781,23174,1,False,49.2573,23174,11393,0,0,0.0,48.06,5978,1,2593,1.4275,19,0,1,1.973,4.1,0.0
b,killpub,0,13271,23175,0,False,40.3874,23175,9906,0,0,0.0,51.69,7910,1,2612,1.4171,15,0,0,5.33,4.1,0.0
b,killrelay,0,13271,23176,-1,False,46.515,23174,9903,0,0,0.0,51.67,7098,1,2613,1.4548,17,0,1,4.204,4.3,0.0
